actuator ,[ˈæktjueɪtə],привод
lack ,[læk],"отсутствие, нужда"
lube ,[lu:b],машинное масло
lead ," ","лидерство, преимущество"
maintenance ,[ˈmeɪntənəns],"обслуживание, эксплуатация"
manner ,[ˈmænə],"способ, поведение"
mapping ,[ˈmæpɪŋ],отображение
meet ,[mi:t],встреча
mention ,[ˈmenʃən],упоминание
memory-consuming," ",потребление памяти
mountain ,[ˈmauntɪn],гора
motion ,[ˈməuʃən],"движение, мотивация, жест"
negation," ",отрицание
nest ,[nest],"гнездо, вложенное множество"
nesting ,[ˈnestɪŋbɔks],вложение
notion ,[ˈnəuʃən],"понятие, соображение"
obstruction ,[əbˈstrʌkʃən],"преграда, обструкция"
opportunity ,[ˌɔpəˈtju:nɪtɪ],"возможность, удобный случай"
outline ,[ˈautlaɪn],"схема, иерархическая структура, основы"
parentheses," ",круглые скобки
parlance ,[ˈpɑ:ləns],язык
pass ,[pɑ:s],"проход, передача"
peripheral ,[pəˈrɪfərəl],"периферия, периферийные устройства"
personnel ,[ˌpə:səˈnel],персонал
placeholder ,[ˈpleɪsˌhəuldə],"заполнитель, служащий"
plant ,[plɑ:nt],"завод, предприятие"
portability ,[ˌpɔ:təˈbɪlɪtɪ],мобильность
precaution ,[prɪˈkɔ:ʃən] ,"предосторожность, предусмотртельность"
predecessor ,[ˈpri:dɪsesə],предшественник
preface ,[ˈprefɪs],предисловие
presence ,[ˈprezns],"присутствие, соседство"
pressure ,[ˈpreʃə],давление
prevent," ",предотвратить
proneness," ","предрасположенность, подверженность"
proof ,[pru:f],"доказательство, проверка"
processing," ",обработка
prohibiting ," ",запрещение
proposals," ",предложения
rack ,[ræk],"стойка, вешалка"
ratio ,[ˈreɪʃɪəu],"отношение, пропорция"
recipe ,[ˈresɪpɪ],"рецепт "
recognition ,[ˌrekəɡˈnɪʃən],"признание, распознавание"
reminder ,[rɪˈmaɪndə],напоминание
response," ",ответ
resolve ,[rɪ'zɔlv],"твердость, решимость"
retrieving," ","получение, извлечение"
regard," ",отношение
rewiring," ","замена проводки, перемонтаж"
rung ,[rʌŋ],перекладина
semicolon ,[ˈsemɪˈkəulən],точка с запятой
shape ,[ʃeɪp],"форма, очертание"
scheduling," ",планирование
stem ,[stem],"основа, стебель"
sign ,[saɪn],"знак, признак"
slice ,[slaɪs],"часть, кусок"
square ,[skwɛə],"квадрат, площадь"
statement ,[ˈsteɪtmənt],"оператор, высказывание"
stir ,[stə:],движение
stone ,[stəun],камень
struggle ,[ˈstrʌɡl],"борьба, усилие"
substitute ,[ˈsʌbstɪtju:t],"замена, заменитель"
subtraction ,[səbˈtrækʃən],вычитание
suite ,[swi:t],"комплект, комплекс"
survey ,['sɜːveɪ],"обзор, исследование"
successor ,[səkˈsesə],преемник
thermocouple ,[ˈθə:məuˌkʌpl],термопара
transducer," ",преобразователь
transmit ,[trænzˈmɪt],передача
treatment ,[ˈtri:tmənt],"рассмотрение, обработка, лечение"
upload," ","закачка, загрузка"
usefulness," ",неполноценность
valve ,[vælv],"клапан, вентиль"
vendor ,[ˈvendɔ:],"продавец, постащик"
vice," ","недостаток, порок"
valuable ,[ˈvæljuəbl],ценность
violation ,[ˌvaɪəˈleɪʃən],нарушение
voting ,[ˈvəutɪŋ],"голосование, утверждение"
wanting ,[ˈwɔntɪŋ],желание
wondering ," ",удивление
whole ,[həul],целое
yield ,[ji:ld],"результат, доход"
